Time PLC_Stem PLC_Leaf Psi_LApo Psi_SApo Psi_LSym Psi_SSym Psi_AllSoil transpiration_mm LAI SWS1 SWS2 SWS3 soilEvaporation_mm ETP VPD RG Tair Rn PAR WS RH PPT 
2010-01-01/10:00:00 0.0421621997276328 0.0436580678621626 -0.103982463552781 -0.0744240038215767 -0.163090878588489 -0.0196974919441495 -0.0253141913830554 0.0189213640142342 2.5 23.5450167045604 71.9985866681204 107.999865295173 0.00300409619331007 0.0820433757727928 0.190916267213269 0.508717223895081 5.26483840467095 0.366066752610094 325.013781932969 6.2 78.5175173485549 0 
2010-01-01/11:00:00 0.0441672697567327 0.0469735820123093 -0.1660421525822 -0.11381382782018 -0.27047687455221 -0.0257455008193582 -0.0253850672623024 0.0298836217496532 2.5 23.5314093751215 71.9901077532138 107.999052643198 0.00463236338783943 0.0999401521147864 0.293276845194365 0.591380587380331 6.77719850927338 0.425550307735631 377.826486381878 6.2 70.2808509396585 0 
2010-01-01/12:00:00 0.0461324602411803 0.0502805773249674 -0.223725706023214 -0.150722707630124 -0.369685610620974 -0.0342342361805277 -0.0254907165608704 0.0394599191036713 2.5 23.5118533195697 71.9769206540934 107.99778846549 0.00626792580650966 0.104613940886959 0.383436832468023 0.598650723501472 7.91832579374801 0.430781809630775 382.471295570385 6.2 64.0660051871793 0 
2010-01-01/13:00:00 0.047230918887392 0.0521139099632581 -0.254091278774238 -0.170674317879586 -0.420850486072525 -0.0442021317726154 -0.0256227192706489 0.0421435683592549 2.5 23.4881206479719 71.9602901790957 107.996193811892 0.00729866831660127 0.0937254281654366 0.419317991664141 0.530032184496318 8.33431602601292 0.381404740086839 338.631673428203 6.2 61.8004252091713 0 
2010-01-01/14:00:00 0.047230918887392 0.0521139099632581 -0.237928967516543 -0.161185991614924 -0.391334931753499 -0.0536178121468778 -0.0257594951819904 0.0352365668039742 2.5 23.4641769456162 71.9433799429686 107.994571758682 0.0072741997161692 0.0681441159589463 0.381571184825368 0.390201210400572 7.89615581228963 0.280784064793775 249.295217755921 6.2 64.1867480849908 0 
2010-01-01/15:00:00 0.047230918887392 0.0521139099632581 -0.181796348607168 -0.126139957920089 -0.293051120455198 -0.060340122695195 -0.025875025417468 0.0206540861364058 2.5 23.4443932316102 71.929812019157 107.993269436812 0.00620683054465968 0.0318512408289302 0.29051323161373 0.188687051017249 6.73973424757772 0.135776916489278 120.550060372132 6.2 70.4848900603042 0 
2010-01-01/16:00:00 0.047230918887392 0.0521139099632581 -0.114536893979373 -0.0838609514987314 -0.1758568060091 -0.0633541046421617 -0.0259534335680655 0.00344847140745574 2.5 23.4315810091018 71.921638351507 107.992483627343 0.00420963874766704 0 0.204047259189998 0 5.47492281380192 0 0 6.2 77.3733485818333 0 
2010-01-01/17:00:00 0.047230918887392 0.0521139099632581 -0.0473552197778054 -0.0414169416888007 -0.0592255866027723 -0.0626722006101 -0.0259738522897962 0.00291279285977691 2.5 23.4284612369356 71.9194214067964 107.992268427629 0 0 0.175866697970459 0 5.01720896076677 0 0 6.2 79.8661651449706 0 
2010-01-01/18:00:00 0.047230918887392 0.0521139099632581 -0.0435656472908068 -0.0389612279604716 -0.0527696868603507 -0.0614073527837456 -0.0259858780617221 0.00237695079780585 2.5 23.4262900909391 71.9182338043986 107.99215181024 0 0 0.149236456886671 0 4.55949510773163 0 0 6.2 82.358981708108 0 
2010-01-01/19:00:00 0.047230918887392 0.0521139099632581 -0.0408264811875413 -0.037162838529186 -0.0481499479646429 -0.0600410836697523 -0.0259964346552276 0.00188455057131285 2.5 23.4243420850841 71.9172867649823 107.992058207287 0 0 0.124094855218778 0 4.10178125469649 0 0 6.2 84.8517982712454 0 
2010-01-01/20:00:00 0.047230918887392 0.0521139099632581 -0.0382999036737707 -0.0354942067954793 -0.0439083731092806 -0.0585981615477973 -0.0260057350936817 0.00143285388984653 2.5 23.4225931741544 71.9165543072794 107.991985136991 0 0 0.100382134478817 0 3.64406740166134 0 0 6.2 87.3446148343827 0 
2010-01-01/21:00:00 0.047230918887392 0.0521139099632581 -0.0359628163604718 -0.033941668571308 -0.0400030053364688 -0.0570953987770728 -0.0260138680848478 0.00101911936772723 2.5 23.4210294108177 71.9160214197012 107.991931168097 0 0 0.0780404118205332 0 3.1863535486262 0 0 6.2 89.8374313975201 0 
2010-01-01/22:00:00 0.047230918887392 0.0521139099632581 -0.033803541179478 -0.0324986699968464 -0.0364119235022128 -0.055547763284352 -0.0260209158851971 0.000640764013341763 2.5 23.4196377402949 71.9156740502865 107.9918949608 0 0 0.0570136342650084 0 2.72863969559105 0 0 6.2 92.3302479606575 0 
