Time PLC_Trunk PLC_Leaf Psi_LApo Psi_TApo Psi_LSym Psi_TSym Psi_AllSoil transpiration_mm LAI SWS1 SWS2 SWS3 SoilEvaporation_mm ETP VPD RG Tair Rn PAR WS RH PPT 
2010-01-01/12:00:00 0.0430234999947393 0.0453286982547306 -0.135820569692887 -0.0915689326469951 -0.224301485714944 -0.0198133850435109 -0.0159379486418656 0.0244932170602191 2.5 24.9497605550158 72.8535448766555 108.000751282527 0.00572250503748252 0.0235369668783091 0.340037499280955 0.192441577527173 9.0743851751394 0.0938310941653609 122.94878564236 5.81 70.5375982430931 0 
2010-01-01/13:00:00 0.0437929525170968 0.0465709213691516 -0.158742961123161 -0.10659785040196 -0.262992554678979 -0.0263163412260007 -0.0161577345375515 0.0261195040143036 2.5 24.9320359107194 72.8443299118666 107.999899630828 0.00637406017193649 0.0210698387747805 0.374814384795484 0.170383540385705 9.47992398504707 0.0830759871520036 108.856150801978 5.81 68.400401127226 0 
2010-01-01/14:00:00 0.0437929525170968 0.0465709213691516 -0.145371111899605 -0.0986607911869963 -0.238748246445651 -0.0324103204510759 -0.0163604832604957 0.0204926985779653 2.5 24.9154410539126 72.8350134996043 107.999037930411 0.00519706734958846 0.0153323426938562 0.338228785338313 0.125433635231067 9.05277219675922 0.0611592120066048 80.1381558420709 5.81 70.6514990435367 0 
2010-01-01/15:00:00 0.0437929525170968 0.0465709213691516 -0.103097695270647 -0.072232583350668 -0.164799170719921 -0.0364707850559289 -0.0165053790499019 0.010553253091812 2.5 24.9032555692851 72.8282953384458 107.99842491815 0.00321187846049988 0.00718349419688445 0.249889721782236 0.060655123816317 7.92540480029068 0.02957436073614 38.7518846604247 5.81 76.5927463160325 0 
2010-01-01/16:00:00 0.0437929525170968 0.0465709213691516 -0.0586877431067193 -0.044300176513859 -0.0874494754073564 -0.0379908607059988 -0.0165846049054727 0.00280467308647363 2.5 24.8966529797938 72.8252462788039 107.998163319312 0.00102409978153469 0 0.164806566856954 0 6.67515015974441 0 0 5.81 83.1816116640451 0 
2010-01-01/17:00:00 0.0437929525170968 0.0465709213691516 -0.0314715428104391 -0.0271060178332516 -0.0401985266247115 -0.0377524396843542 -0.0165885620330801 0.00215207545821283 2.5 24.8935755017022 72.8249108467903 107.998161691251 0 0 0.13302501175439 0 6.15406389776358 0 0 5.81 85.9277460142369 0 
2010-01-01/18:00:00 0.0437929525170968 0.0465709213691516 -0.0279370234560892 -0.0248504401384165 -0.0341073151852526 -0.0371550917494354 -0.0166125232092149 0.00154441918222911 2.5 24.8910151103305 72.825130780455 107.998213279632 0 0 0.10326740204606 0 5.63297763578275 0 0 5.81 88.6738803644288 0 
2010-01-01/19:00:00 0.0437929525170968 0.0465709213691516 -0.0249949263763044 -0.0229595866745546 -0.0290637100218359 -0.0363989183635184 -0.0166336843861946 0.000994975334434655 2.5 24.8886881497909 72.8255982832741 107.998288601838 0 0 0.0754420783141269 0 5.11189137380192 0 0 5.81 91.4200147146207 0 
2010-01-01/20:00:00 0.0437929525170968 0.0465709213691516 -0.02231953853774 -0.021229450143523 -0.0244986999931489 -0.0355126545854177 -0.0166523855014163 0.000499348264837841 2.5 24.8865719462278 72.8262892051928 107.998385351829 0 0 0.0494606154038098 0 4.59080511182109 0 0 5.81 94.1661490648125 0 
2010-01-01/21:00:00 0.0437929525170968 0.0465709213691516 -0.0198880720208897 -0.0196469737065368 -0.0203700440819993 -0.0345199985735891 -0.0166688632987817 5.33595241842387e-05 2.5 24.8846485552026 72.8271844870251 107.998501710675 0 0 0.0252377339227027 0 4.06971884984026 0 0 5.81 96.9122834150044 0 
2010-01-01/22:00:00 0.0437929525170968 0.0465709213691516 -0.0191175017117517 -0.019109682856523 -0.0191331321392389 -0.0334728846435786 -0.0166836753530631 3.41584450249578e-06 2.5 24.8828518898505 72.8282126347525 107.998630833839 0 0 0.00269121348409726 0 3.54863258785942 0 0 5.81 99.6584177651963 0 
