Time k_SoilToStem1 k_SoilToStem2 k_SoilToStem3 k_RSApo1 k_RSApo2 k_RSApo3 k_SLApo k_LSym k_SSym k_Plant C_LSym C_SSym C_LApo C_SApo PLC_Stem PLC_Leaf F_L_Cav F_S_Cav Delta_Q_LApo_mmol_diag Psi_LApo Psi_SApo Psi_LSym Psi_SSym Psi_SApo_cav Psi_LApo_cav Psi_AllSoil Q_LApo_L Q_SApo_L Q_LSym_L Q_SSym_L gmin_S gmin gs_bound gs_lim gcanopy_bound gcanopy_lim gBL gCrown regulFact Eprime Emin Emin_S Elim Ebound transpiration_mm Emin_mm Emin_S_mm fluxSoilToStem1_mm fluxSoilToStem2_mm fluxSoilToStem3_mm leafTemperature leafVPD LAI LAIpheno canopyStorageCapacity pptSoil interceptedWaterAmount evaporationIntercepted ETPr LAIdead DFMC LFMCSymp LFMCApo LFMC FMCCanopy PsiSoil1 PsiSoil2 PsiSoil3 REW1 REW2 REW3 SWS1 SWS2 SWS3 kSoil1 kSoil2 kSoil3 Drainage_mm soilEvaporation_mm ETP VPD RG Tair Rn PAR WS RH PPT 
1990-01-01/10:00:00 0.982190729354679 0.35947033700643 0.207507134962466 0.982190781016499 0.359470358056187 0.207507146958112 3.09784842065596 1.55 0.26 0.619780808891188 555.232120525992 10207.4398582055 1e-05 2e-05 0.0536589657549437 0.0694057852915693 0 0 0 -0.45911991532573 -0.30401195149006 -0.769397246315635 -0.0653452598741127 -0.30401195149006 -0.45911991532573 -0.0360003004757905 1.02744639747795 15.9514360290655 0.436504234356482 8.42652567067512 1 4.36531134617925 299.950367634811 299.950367634811 38.2862099792837 38.2862099792837 1776.33240132583 45 1 0 0.0552069483200358 0.00789655455542887 0.532355894795838 0.532355894795838 0.231514613814602 0.0214644615068299 0.00307018041115075 0.0868335342381608 0.0320688321776973 0.0185019228855344 24.7833621018842 1.4066628852312 6 6 9 0 0 0 0.674301925539584 0 32.9269338212557 90.2166489658734 99.9305942147084 96.8221317350812 96.8221317350812 -0.0372543330012221 -0.034460169230273 -0.0346321256419896 0.983090223250392 0.985478746639381 0.985336642788224 91.3955592610733 91.5374375503792 47.1513012693197 18600432.4160309 6129323.80590579 3583428.88493726 0 0.0109248446084109 0.757954863194117 1.02268414979484 2.83406150661596 22.5 2.284517032091 1810.65040700464 1 62.5000007166667 0 
1990-01-01/11:00:00 0.982063901554604 0.359423919887954 0.207480340294855 0.982063954868225 0.359423941166707 0.20748035243642 3.09698779181907 1.55 0.26 0.619714335959917 540.979814326337 10188.6743531952 1e-05 2e-05 0.0665646147515499 0.0971680058362967 0 0 0 -0.66198083535809 -0.433923812730367 -1.11816974949181 -0.0965636197388321 -0.433923812730367 -0.66198083535809 -0.0380121972420903 1.02716095743119 15.9493762874857 0.415855477272395 8.39214204050965 1 4.57489203951007 294.300309123386 253.024151904942 38.1926188593304 37.4008338312183 1776.33240132583 45 0.85974816899992 0 0.0815069884597074 0.0124943090143704 0.735798086149151 0.75137511608799 0.322626000352711 0.0316899171131342 0.00485778734478721 0.131877199107997 0.0487605165704743 0.0281299979497099 27.5238601010251 2.0265761140984 6 6 9 0 0 0 0.819315259776148 0 24.2135723298885 85.948966036788 99.9028319941637 95.4375948878035 95.4375948878035 -0.039996652807468 -0.0354429940718883 -0.0357262747329591 0.980583831528259 0.984657862522033 0.984417361809475 91.2466795927786 91.4886770338087 47.1231712713699 17991104.7937382 6057635.87160197 3536758.36887503 0 0.0170024691867256 0.880675656358179 1.61814012705714 3.16098487477332 25.3701257427382 2.54804765801444 2019.51811443851 1 50.0627890563743 0 
1990-01-01/12:00:00 0.981856481083537 0.359348006969037 0.207436518932972 0.981856536854723 0.359348028595522 0.207436531295923 3.09537090477582 1.55 0.26 0.619597205826564 521.385853701933 10162.5750930406 1e-05 2e-05 0.087671177666616 0.149325652392944 0 0 0 -0.921143623570931 -0.599966764940956 -1.56351601800811 -0.139635895392489 -0.599966764940956 -0.921143623570931 -0.0408889303461794 1.02662469337236 15.9460076800444 0.390300715711007 8.34480691686971 1 4.85391571818479 270.512421853822 147.133106192704 37.7616868384619 33.8046297921682 1776.33240132583 45 0.543905175164973 0 0.123850168752613 0.0174629591881676 0.957937524469371 1.07007049129715 0.427388653657067 0.0481529456110161 0.00678959853235955 0.186459097213371 0.0690204473580198 0.0398146210635024 30.7823026658152 2.9129444694616 6 6 9 0 0 0 0.91038917257211 0 17.8728803314663 80.6673106214879 99.8506743476071 93.7119979552489 93.7119979552489 -0.0436061666387488 -0.0367933210422196 -0.0372249328186252 0.977046474762087 0.9834959021288 0.983116230402171 91.0365606008679 91.4196565864507 47.0833566503064 17210357.5100042 5960053.15174168 3473493.04038184 0 0.0236598946972653 0.940102688786041 2.26163087266648 3.27249234748937 27.8033008588991 2.63793304689204 2090.75899978487 1 39.519030127757 0 
1990-01-01/13:00:00 0.981675009614376 0.359281591198603 0.207398179871981 0.981675068378172 0.359281613251882 0.207398192506189 3.09380706611288 1.55 0.26 0.61948870896524 507.531898200115 10129.9378408917 1e-05 2e-05 0.106137152500484 0.199772060874785 0 0 0 -1.09677787633669 -0.715222059926627 -1.85905805409968 -0.192943231341899 -0.715222059926627 -1.09677787633669 -0.0441960228535157 1.02610602357891 15.9430605104609 0.373878164528821 8.28639278856231 1 5.07122359291139 245.443068118463 83.6792363072905 37.2308518817738 28.7889282740517 1776.33240132583 45 0.340931348963185 0 0.163239809068317 0.0214242686114485 1.03377819454436 1.33691822332891 0.473730355440741 0.0634676377657617 0.00832975563613117 0.238989517998804 0.0885872756532979 0.0510965845420063 33.0926357362062 3.65935053336115 6 6 9 0 0 0 0.932610917883823 0 14.3903517264323 77.2730994809897 99.8002279391252 92.5915468325219 92.5915468325219 -0.0478732942139949 -0.038463639451359 -0.0390722642596571 0.972526943797481 0.982004533851809 0.981446407377923 90.7681004615704 91.3310693107974 47.0322600657644 16318894.6540298 5840815.30351377 3396565.46600456 0 0.0294706212987708 0.925119146981605 2.77466074299608 3.16098487477332 29.4290964938346 2.54804765801444 2019.51811443851 1 32.473915648284 0 
1990-01-01/14:00:00 0.981617044972843 0.359260377513724 0.207385934076954 0.981617106852807 0.359260400010342 0.207385946992391 3.09333576376158 1.55 0.26 0.619455176421561 504.300564770318 10095.7683871782 1e-05 2e-05 0.112035235126485 0.214975362529614 0 0 0 -1.14105423576402 -0.747836708799756 -1.92603069585705 -0.24810997498305 -0.747836708799756 -1.14105423576402 -0.0474219570666292 1.02594970931262 15.9421191764738 0.370218829353013 8.22614012617792 1 5.09605610997109 242.443026185757 71.6913606749839 37.1610996050655 27.2228386768534 1776.33240132583 45 0.295703950750288 0 0.169968841859762 0.0229503271663326 1.01339158913015 1.38335117177259 0.469013622771148 0.0660838857150755 0.0089230872022701 0.261966011563284 0.0973540754328727 0.0561432468442836 33.2808673316973 3.7704490414986 6 6 9 0 0 0 0.879858905528174 0 13.3257118810118 76.5167884740851 99.7850246374704 92.3391890651871 92.3391890651871 -0.052218779815466 -0.0402275612950503 -0.041016346844032 0.967564235260559 0.980365576352939 0.979611660749025 90.4733155744772 91.2337152353646 46.9761168189202 15446450.3924469 5716673.01339045 3316879.36317509 0 0.032818875529852 0.834598664074744 2.97230085106901 2.83406150661597 30 2.284517032091 1810.65040700464 1 30.0000004333333 0 
1990-01-01/15:00:00 0.98161704163915 0.359260377036838 0.207385933774721 0.981617106852807 0.359260400010342 0.207385946992391 3.09333576376158 1.55 0.26 0.619455176421561 507.3470588527 10064.1317670625 1e-05 2e-05 0.112035235126485 0.214975362529614 0 0 0 -1.10956049779633 -0.732075328892015 -1.86290783534274 -0.298617122311061 -0.747836708799756 -1.14105423576402 -0.0506736555397515 1.02594970931262 15.9421191764738 0.373667183178441 8.17115614369924 1 4.95052519001028 259.699109174619 87.8623723047975 37.5434706863943 29.2683358340049 1776.33240132583 45 0.338323733893594 0 0.144050903754544 0.0214242686114485 0.947718406742499 1.21567001363824 0.432809663557382 0.0560069913797667 0.00832975563613117 0.260586148201597 0.0971968227205479 0.056038325005063 31.5916532713101 3.25351207886647 6 6 9 0 0 0 0.755916441360029 0 14.3903517264323 77.2294938778193 99.7850246374704 92.5672547943821 92.5672547943821 -0.0562686218356515 -0.0419229510067406 -0.0428791726952746 0.962627576131524 0.978729266206128 0.977780342938402 90.1800780222126 91.136518412644 46.9200784939151 14665610.8003079 5599087.14674016 3241755.23600115 0 0.0326514040630686 0.677234218645314 2.77466074299608 2.31400153029082 29.4290964938346 1.86530034577345 1478.38986657469 1 32.473915648284 0 
1990-01-01/16:00:00 0.981617038532343 0.359260376594545 0.207385933494446 0.981617106852807 0.359260400010342 0.207385946992391 3.09333576376158 1.55 0.26 0.619455176421561 518.096460806806 10038.5468480038 1e-05 2e-05 0.112035235126485 0.214975362529614 0 0 0 -0.98180149299818 -0.654500292894421 -1.6349966591181 -0.33907206447721 -0.747836708799756 -1.14105423576402 -0.0535423426444444 1.02594970931262 15.9421191764738 0.386288335726384 8.1272404183926 1 4.67027293573772 287.312070294732 142.022474844892 38.072444076663 33.5274359360468 1776.33240132583 45 0.494314334581216 0 0.0987364840572154 0.0174629591881676 0.784247261994137 0.890560497423722 0.350093678997125 0.0383887450014453 0.00678959853235955 0.238543606622588 0.0894373168600026 0.0515462882020238 28.3315958137538 2.3326622442834 6 6 9 0 0 0 0.573642781519167 0 17.8728803314663 79.8380323508565 99.7850246374704 93.4019871057539 93.4019871057539 -0.0597549040956452 -0.0434316777232613 -0.0445326390521659 0.958148851504187 0.977223587471111 0.976095823716113 89.9140417793487 91.047081095784 46.8685322057131 14018308.9311838 5495884.61079173 3176089.71853187 0 0.0274926362412374 0.470051344393021 2.26163087266648 1.63624617374468 27.8033008588991 1.31896652344602 1045.37949989244 1 39.519030127757 0 
1990-01-01/17:00:00 0.981617035764843 0.359260376195657 0.207385933241733 0.981617106852807 0.359260400010342 0.207385946992391 3.09333576376158 1.55 0.26 0.619455176421561 538.289908245892 10022.9961608777 1e-05 2e-05 0.112035235126485 0.214975362529614 0 0 0 -0.722968409822293 -0.493222127928192 -1.18147317747537 -0.36349356141157 -0.747836708799756 -1.14105423576402 -0.0559883939140928 1.02594970931262 15.9421191764738 0.412166099668734 8.10078402365679 1 4.28580513825389 287.639527549663 234.181566797672 38.0781884044542 36.9612379709311 1776.33240132583 45 0.814149462671604 0 0.0500802244883597 0.0124943090143704 0.474073151795587 0.488399409288266 0.208648620043986 0.0194711912810742 0.00485778734478721 0.189445857600344 0.0717227602847508 0.0413092980375882 23.8304746993836 1.30724990595642 6 6 9 0 0 0 0.353013837653972 0 24.2135723298885 85.1864458640736 99.7850246374704 95.1134794299834 95.1134794299834 -0.0623555856220715 -0.0446095497952826 -0.0458205832942286 0.954676026153974 0.976016133594263 0.974745846656061 89.7077559535461 90.9753583354993 46.8272229076755 13550358.7893745 5416258.69217356 3125605.09031559 0 0.0168399682023317 0.235976330914923 1.61814012705714 0.846983344482505 25.3701257427382 0.682747312240982 541.128247863823 1 50.0627890563743 0 
1990-01-01/18:00:00 0.981617034196776 0.359260375964054 0.207385933095153 0.981617106852807 0.359260400010342 0.207385946992391 3.09333576376158 1.55 0.26 0.619455176421561 557.741474539719 10019.7963420556 1e-05 2e-05 0.112035235126485 0.214975362529614 0 0 0 -0.449592706884509 -0.321389893077926 -0.705447125306929 -0.368503203808925 -0.747836708799756 -1.14105423576402 -0.0573367447387872 1.02594970931262 15.9421191764738 0.440347691790782 8.09536203345866 1 4.02660310132318 18.6153505162308 18.6153505162308 13.0711629978279 13.0711629978279 1776.33240132583 45 1 0 0.0245897841213033 0.00789655455542887 0.0871469276185925 0.0871469276185925 0.0465134139356222 0.00956050806636274 0.00307018041115075 0.121619394419574 0.0470594029125187 0.0270649014851519 21.6726888754512 0.874749973518764 6 6 9 0 0 0 0.117988165457462 0 32.9269338212557 91.0110143416794 99.7850246374704 96.9773413428173 96.9773413428173 -0.0639203862249899 -0.0453680809901005 -0.0466479504643752 0.952534150171711 0.975223887753985 0.973861372751318 89.5805285201996 90.9282989325867 46.8001580061903 13274909.4760566 5365420.76519782 3093481.98645743 0 0.00560803892686033 0 1.02268414979484 0 22.5 0 0 1 62.5000007166667 0 
1990-01-01/19:00:00 0.981617033699004 0.359260375858949 0.207385933028861 0.981617106852807 0.359260400010342 0.207385946992391 3.09333576376158 1.55 0.26 0.619455176421561 572.031620149919 10027.0798560708 1e-05 2e-05 0.112035235126485 0.214975362529614 0 0 0 -0.229648586403406 -0.182126389726087 -0.324488657632878 -0.357092462773465 -0.747836708799756 -1.14105423576402 -0.0577978698752161 1.02594970931262 15.9421191764738 0.46359295218463 8.1077145197443 1 4.07904387516207 18.9869814980642 18.9869814980642 13.253310564002 13.253310564002 1776.33240132583 45 1 0 0.0287843597827256 0.00705269936162648 0.102216166257224 0.102216166257224 0.0536750940361329 0.0111913590835237 0.00274208951180038 0.0562216752065025 0.0231886987486485 0.0132814675076027 21.0734472688346 0.781301529971472 6 6 9 0 0 0 0 0 34.919041325392 95.8153423000641 99.7850246374704 98.5147262895004 98.5147262895004 -0.0646030877746202 -0.0457378929111672 -0.0470494509457126 0.951587657323116 0.974833505620169 0.973427337865448 89.5243068449931 90.9051102338381 46.7868765386827 13156167.1065211 5340760.59979214 3077980.39372563 0 0 0 0.913396317314727 0 21.875 0 0 1 65.2083340736111 0 
