Time PLC_Root PLC_TL Psi_LApo Psi_TApo Psi_LSym Psi_TSym Psi_AllSoil transpiration_mm LAI DFMC LFMCSymp LFMCApo LFMC FMCCanopy SWS1 SWS2 SWS3 SoilEvaporation_mm ETP VPD RG Tair Rn PAR WS RH 
1990-01-0205:00:00 0.0311 0.0312 -0.0344 -0.0341 -0.0351 -0.0354 -0.0333 5e-04 6 57.8605 75.2202 75.4151 75.2981 75.2981 55.5085 55.5149 55.514 0 0 0.0142 0 -3.7989 0 0 0.4 96.9151 
1990-01-0206:00:00 0.0311 0.0312 -0.0344 -0.0341 -0.0351 -0.0354 -0.0333 5e-04 6 57.862 75.2202 75.4151 75.2981 75.2981 55.5083 55.5148 55.5138 0 0 0.0142 0 -3.8403 0 0 0.4 96.9151 
1990-01-0207:00:00 0.0311 0.0312 -0.0344 -0.0341 -0.0351 -0.0354 -0.0333 5e-04 6 57.8635 75.2202 75.4151 75.2981 75.2981 55.5081 55.5146 55.5137 0 0 0.0141 0 -3.8818 0 0 0.4 96.9151 
1990-01-0208:00:00 0.0311 0.0312 -0.0344 -0.0341 -0.0351 -0.0354 -0.0333 5e-04 6 57.8606 75.2201 75.4151 75.2981 75.2981 55.5076 55.5145 55.5135 3e-04 0.0128 0.0142 0.1375 -3.8027 0.0805 87.8423 0.4 96.9151 
1990-01-0209:00:00 0.0311 0.0312 -0.0354 -0.0347 -0.0366 -0.0358 -0.0333 7e-04 6 57.8381 75.2105 75.4151 75.2923 75.2923 55.5069 55.5143 55.5133 4e-04 0.0332 0.0149 0.3466 -3.1871 0.2031 221.4594 0.4 96.9151 
1990-01-0210:00:00 0.0311 0.0312 -0.0361 -0.0352 -0.0378 -0.0363 -0.0333 0.001 6 57.7994 75.2029 75.4151 75.2878 75.2878 55.506 55.514 55.513 4e-04 0.0497 0.016 0.4973 -2.185 0.2913 317.7059 0.4 96.9151 
1990-01-0211:00:00 0.0311 0.0312 -0.0366 -0.0356 -0.0387 -0.0368 -0.0334 0.0013 6 57.755 75.1977 75.4151 75.2846 75.2846 55.505 55.5137 55.5126 4e-04 0.0605 0.0174 0.5792 -1.1096 0.3393 370.0227 0.4 96.9151 
1990-01-0212:00:00 0.0311 0.0312 -0.037 -0.0359 -0.0393 -0.0372 -0.0334 0.0014 6 57.7193 75.1937 75.415 75.2822 75.2822 55.504 55.5133 55.5121 4e-04 0.0633 0.0184 0.5867 -0.2967 0.3437 374.8446 0.4 96.9151 
1990-01-0213:00:00 0.0312 0.0313 -0.0373 -0.0361 -0.0397 -0.0376 -0.0334 0.0016 6 57.7058 75.1912 75.415 75.2808 75.2808 55.5029 55.5129 55.5116 5e-04 0.0567 0.0188 0.5194 -1e-04 0.3043 331.843 0.4 96.9151 
1990-01-0214:00:00 0.0312 0.0313 -0.0373 -0.0361 -0.0397 -0.0377 -0.0334 0.0016 6 57.72 75.191 75.415 75.2806 75.2806 55.5017 55.5124 55.5111 5e-04 0.0412 0.0184 0.3818 -0.3125 0.2237 243.9483 0.4 96.9151 
